wa_field,skipperman_field
First name,registered_by_first_name
Last name,registered_by_last_name
Email for Club Communications,registered_by_email
Primary Telephone Contact,registered_by_phone
Named Responsible Adult for the event,responsible_adult_name
Emergency Contact Number,responsible_adult_number
Cadet First Name,cadet_first_name
Cadet Last Name,cadet_second_name
Cadet Date of Birth,cadet_date_of_birth
Total fee incl. extra costs and guests registration fees,registration_total_fee
Payment state,registration_payment_status
Event registration date,registration_date
Member,registered_by_member
Internal notes,registration_internal_notes
What days are you attending?,weekend_days_attending_input
Adult Helper 1 Full Name,volunteer1_name
Adult 1 helper preferred duties,volunteer1_duties
Adult Helper 1 Availability,volunteer1_weekend_availability
Adult Helper 2 Full Name,volunteer2_name
Adult helper 2 preferred duties,volunteer2_duties
Adut Helper 2 Availability,volunteer2_weekend_availability
